id,mo,day,yr,time,rookery,rkname,island,sex,wgt,tagmark,tagno,sheared,tagged,handled,plen
80,8,30,1957,1400,12,ZAR,1,F,5.6,F,0     N,N,N,N,
81,8,30,1957,1400,12,ZAR,1,F,12.1,U,0     N,N,N,N,
82,8,30,1957,1400,12,ZAR,1,F,5.5,F,0     N,N,N,N,
83,8,30,1957,1400,12,ZAR,1,F,8.6,U,0     N,N,N,N,
84,8,30,1957,1400,12,ZAR,1,F,7.7,F,0     N,N,N,N,
85,8,30,1957,1400,12,ZAR,1,F,5.8,U,0     N,N,N,N,
86,8,30,1957,1400,12,ZAR,1,F,6.8,F,0     N,N,N,N,
87,8,30,1957,1400,12,ZAR,1,F,9.5,U,0     N,N,N,N,
88,8,30,1957,1400,12,ZAR,1,F,8.3,F,0     N,N,N,N,
89,8,30,1957,1400,12,ZAR,1,F,12.2,U,0     N,N,N,N,
90,8,30,1957,1400,12,ZAR,1,F,6.8,F,0     N,N,N,N,
91,8,30,1957,1400,12,ZAR,1,F,9,U,0     N,N,N,N,
92,8,30,1957,1400,12,ZAR,1,F,7.2,F,0     N,N,N,N,
93,8,30,1957,1400,12,ZAR,1,F,7.6,U,0     N,N,N,N,
94,8,30,1957,1400,12,ZAR,1,F,8.5,F,0     N,N,N,N,
95,8,30,1957,1400,12,ZAR,1,F,9.6,U,0     N,N,N,N,
96,8,30,1957,1400,12,ZAR,1,F,8.9,F,0     N,N,N,N,
97,8,30,1957,1400,12,ZAR,1,F,5.2,U,0     N,N,N,N,
98,8,30,1957,1400,12,ZAR,1,F,7.5,F,0     N,N,N,N,
99,8,30,1957,1400,12,ZAR,1,F,8.5,U,0     N,N,N,N,
100,8,30,1957,1400,12,ZAR,1,F,5.8,F,0     N,N,N,N,
101,8,30,1957,1400,12,ZAR,1,F,9.2,F,0     N,N,N,N,
102,8,30,1957,1400,12,ZAR,1,F,6.1,F,0     N,N,N,N,
103,8,30,1957,1400,12,ZAR,1,F,7.5,F,0     N,N,N,N,
104,8,30,1957,1400,12,ZAR,1,F,9.5,F,0     N,N,N,N,
105,8,30,1957,1400,12,ZAR,1,F,5.9,F,0     N,N,N,N,
106,8,30,1957,1400,12,ZAR,1,F,8.7,F,0     N,N,N,N,
107,8,30,1957,1400,12,ZAR,1,F,7.1,F,0     N,N,N,N,
108,8,30,1957,1400,12,ZAR,1,F,8.3,F,0     N,N,N,N,
109,8,30,1957,1400,12,ZAR,1,F,6.1,F,0     N,N,N,N,
110,8,30,1957,1400,12,ZAR,1,F,5.6,F,0     N,N,N,N,
111,8,30,1957,1400,12,ZAR,1,F,10.5,F,0     N,N,N,N,
112,8,30,1957,1400,12,ZAR,1,F,7.1,F,0     N,N,N,N,
113,8,30,1957,1400,12,ZAR,1,F,9.1,F,0     N,N,N,N,
114,8,30,1957,1400,12,ZAR,1,F,7.2,F,0     N,N,N,N,
115,8,30,1957,1400,12,ZAR,1,F,8.6,F,0     N,N,N,N,
116,8,30,1957,1400,12,ZAR,1,F,5.1,F,0     N,N,N,N,
117,8,30,1957,1400,12,ZAR,1,F,4.4,F,0     N,N,N,N,
118,8,30,1957,1400,12,ZAR,1,F,9.2,F,0     N,N,N,N,
119,8,30,1957,1400,12,ZAR,1,F,5.5,F,0     N,N,N,N,
120,8,30,1957,1400,12,ZAR,1,F,5.9,F,0     N,N,N,N,
121,8,30,1957,1400,12,ZAR,1,F,8.2,F,0     N,N,N,N,
122,8,30,1957,1400,12,ZAR,1,F,7.1,F,0     N,N,N,N,
123,8,30,1957,1400,12,ZAR,1,F,8.8,F,0     N,N,N,N,
124,8,30,1957,1400,12,ZAR,1,F,5.3,F,0     N,N,N,N,
125,8,30,1957,1400,12,ZAR,1,F,10.7,F,0     N,N,N,N,
126,8,30,1957,1400,12,ZAR,1,F,6.9,F,0     N,N,N,N,
127,8,30,1957,1400,12,ZAR,1,F,9.9,F,0     N,N,N,N,
